ticker,cik,bolsa,sector,variables_descargadas
HALO,0001159036,Nasdaq,"Biological Products, (No Diagnostic Substances)",37
APLD,0001144879,Nasdaq,Services-Computer Processing & Data Preparation,27
MSGS,0001636519,NYSE,Services-Miscellaneous Amusement & Recreation,30
CYTK,0001061983,Nasdaq,Pharmaceutical Preparations,27
SIRI,0000908937,Nasdaq,Radio Broadcasting Stations,32
R,0000085961,NYSE,Services-Auto Rental & Leasing (No Drivers),31
PRIM,0001361538,NYSE,"Water, Sewer, Pipeline, Comm & Power Line Construction",33
PRMB,0002042694,NYSE,Beverages,32
ZWS,0001439288,NYSE,General Industrial Machinery & Equipment,36
CRL,0001100682,NYSE,Services-Commercial Physical & Biological Research,35
EPAM,0001352010,NYSE,Services-Computer Programming Services,30
LKQ,0001065696,Nasdaq,Wholesale-Motor Vehicles & Motor Vehicle Parts & Supplies,32
KRYS,0001711279,Nasdaq,"Biological Products, (No Diagnostic Substances)",27
LBRDA,0001611983,Nasdaq,Cable & Other Pay Television Services,30
FORM,0001039399,Nasdaq,Semiconductors & Related Devices,38
SSD,0000920371,NYSE,"Cutlery, Handtools & General Hardware",35
AWI,0000007431,NYSE,"Plastics Products, NEC",30
MTCH,0000891103,Nasdaq,"Services-Computer Programming, Data Processing, Etc.",31
SMTC,0000088941,Nasdaq,Semiconductors & Related Devices,34
BIO,0000012208,NYSE,Laboratory Analytical Instruments,36
ARW,0000007536,NYSE,"Wholesale-Electronic Parts & Equipment, NEC",32
AL,0001487712,NYSE,"Services-Equipment Rental & Leasing, NEC",21
QRVO,0001604778,Nasdaq,Semiconductors & Related Devices,33
MIDD,0000769520,Nasdaq,Refrigeration & Service Industry Machinery,34
NXST,0001142417,Nasdaq,Television Broadcasting Stations,30
PEGA,0001013857,Nasdaq,Services-Computer Processing & Data Preparation,32
DOX,0001062579,Nasdaq,Services-Computer Programming Services,0
INGR,0001046257,NYSE,Grain Mill Products,36
AAL,0000006201,Nasdaq,"Air Transportation, Scheduled",27
DOCN,0001582961,NYSE,"Services-Computer Programming, Data Processing, Etc.",29
VIAV,0000912093,Nasdaq,Semiconductors & Related Devices,36
JBTM,0001433660,NYSE,Special Industry Machinery (No Metalworking Machinery),33
CWAN,0001866368,NYSE,Services-Prepackaged Software,32
LUMN,0000018926,NYSE,Telephone Communications (No Radiotelephone),33
KEX,0000056047,NYSE,Water Transportation,31
ESE,0000866706,NYSE,"Communications Equipment, NEC",33
CRUS,0000772406,Nasdaq,Semiconductors & Related Devices,34
MSA,0000066570,NYSE,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",36
CMC,0000022444,NYSE,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",32
